"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","Проверяем получение списка заказа без авторизации","tests.create_order","Mon Jan 13 12:32:35 UZT 2025","passed","Mon Jan 13 12:32:35 UZT 2025","","test_get_order","",""
"","2434","Проверяем создание заказа с ингредиентами и с авторизацией","tests.create_order","Mon Jan 13 12:32:27 UZT 2025","passed","Mon Jan 13 12:32:30 UZT 2025","TestOrder","test_create_order_with_authorization","",""
"","910","Проверяем создание пользователя без обязательного поля","tests.user","Mon Jan 13 12:32:38 UZT 2025","passed","Mon Jan 13 12:32:39 UZT 2025","","test_missing_field","",""
"","321","Проверяем создание заказа с ингредиентами и без авторизации","tests.create_order","Mon Jan 13 12:32:35 UZT 2025","passed","Mon Jan 13 12:32:36 UZT 2025","","test_order_without_authorization","",""
"","302","Проверяем обновление данных неавторизованного пользователя","tests.change_data","Mon Jan 13 12:32:26 UZT 2025","passed","Mon Jan 13 12:32:27 UZT 2025","","test_change_without_autorization","",""
"","305","Проверяем создание заказа без ингредиентов и с авторизацией","tests.create_order","Mon Jan 13 12:32:31 UZT 2025","passed","Mon Jan 13 12:32:31 UZT 2025","TestOrder","test_create_order_with_authorization","",""
"","609","Проверяем получение списка заказа с авторизацией","tests.create_order","Mon Jan 13 12:32:34 UZT 2025","passed","Mon Jan 13 12:32:34 UZT 2025","","test_get_order","",""
"","306","Проверяем создание заказа с авторизацией и с неверным хешем ингредиента","tests.create_order","Mon Jan 13 12:32:32 UZT 2025","passed","Mon Jan 13 12:32:33 UZT 2025","TestOrder","test_create_order_with_authorization","",""
"","319","Проверяем обновление данных неавторизованного пользователя","tests.change_data","Mon Jan 13 12:32:27 UZT 2025","passed","Mon Jan 13 12:32:27 UZT 2025","","test_change_without_autorization","",""
"","701","Проверяем создание пользователя, который уже зарегистрирован","tests.user","Mon Jan 13 12:32:37 UZT 2025","passed","Mon Jan 13 12:32:38 UZT 2025","","test_create_existing_user","",""
"","1","Проверяем авторизацию под существующим пользователем","tests.login_user","Mon Jan 13 12:32:37 UZT 2025","passed","Mon Jan 13 12:32:37 UZT 2025","","test_login_existing_user","",""
"","310","Проверяем авторизацию с неверным логином и паролем","tests.login_user","Mon Jan 13 12:32:37 UZT 2025","passed","Mon Jan 13 12:32:37 UZT 2025","","test_login_wrong","",""
"","369","Проверяем создание уникального пользователя","tests.user","Mon Jan 13 12:32:38 UZT 2025","passed","Mon Jan 13 12:32:38 UZT 2025","","test_create_user","",""
"","321","Проверяем обновление данных пользователя","tests.change_data","Mon Jan 13 12:32:25 UZT 2025","passed","Mon Jan 13 12:32:26 UZT 2025","","test_change_with_autorization","",""
